filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_numjobs=34_randread.json,numjobs,randread,4k,34,248.52,0.0,970.79,0.0,8629.44,41680.9,0.0,0.0,2.42,7.85,10.27
test_numjobs=34_randwrite.json,numjobs,randwrite,4k,34,0.0,280.89,0.0,1097.23,0.0,0.0,7636.78,61079.55,2.88,7.97,10.85
test_numjobs=35_randread.json,numjobs,randread,4k,35,251.09,0.0,980.82,0.0,8792.5,68681.73,0.0,0.0,2.41,7.49,9.9
test_numjobs=35_randwrite.json,numjobs,randwrite,4k,35,0.0,257.04,0.0,1004.05,0.0,0.0,8581.95,68681.73,2.56,7.39,9.96
test_numjobs=36_randread.json,numjobs,randread,4k,36,253.93,0.0,991.9,0.0,8940.96,64749.57,0.0,0.0,2.15,7.53,9.68
test_numjobs=36_randwrite.json,numjobs,randwrite,4k,36,0.0,257.0,0.0,1003.92,0.0,0.0,8835.33,52690.94,2.46,7.11,9.57
test_numjobs=37_randread.json,numjobs,randread,4k,37,248.78,0.0,971.81,0.0,9374.88,77070.34,0.0,0.0,2.21,7.14,9.35
test_numjobs=37_randwrite.json,numjobs,randwrite,4k,37,0.0,257.43,0.0,1005.6,0.0,0.0,9064.54,68681.73,2.48,6.93,9.42
test_numjobs=38_randread.json,numjobs,randread,4k,38,250.8,0.0,979.7,0.0,9553.49,61079.55,0.0,0.0,2.18,7.0,9.18
test_numjobs=38_randwrite.json,numjobs,randwrite,4k,38,0.0,264.41,0.0,1032.87,0.0,0.0,9065.05,72876.03,2.3,6.89,9.19
test_numjobs=39_randread.json,numjobs,randread,4k,39,252.83,0.0,987.61,0.0,9726.64,57409.54,0.0,0.0,2.07,6.91,8.99
test_numjobs=39_randwrite.json,numjobs,randwrite,4k,39,0.0,274.56,0.0,1072.49,0.0,0.0,8962.21,67633.15,2.48,6.88,9.36
test_numjobs=40_randread.json,numjobs,randread,4k,40,269.87,0.0,1054.18,0.0,9343.68,77070.34,0.0,0.0,2.16,7.0,9.16
test_numjobs=40_randwrite.json,numjobs,randwrite,4k,40,0.0,265.61,0.0,1037.52,0.0,0.0,9490.91,81264.64,2.23,6.59,8.82
test_numjobs-bw=1_read.json,numjobs-bw,read,64k,1,53.05,0.0,3315.67,0.0,1189.15,1384.45,0.0,0.0,14.4,84.9,99.3
test_numjobs-bw=1_write.json,numjobs-bw,write,64k,1,0.0,37.93,0.0,2370.88,0.0,0.0,1662.55,1941.5,34.22,64.56,98.78
test_numjobs-bw=2_read.json,numjobs-bw,read,64k,2,107.67,0.0,6729.15,0.0,1171.71,1433.6,0.0,0.0,16.46,82.8,99.26
