filename,test_type,rw_mode,bs,numjobs,read_iops_K,write_iops_K,read_bw_MiB,write_bw_MiB,read_lat_mean_us,read_lat_p99_us,write_lat_mean_us,write_lat_p99_us,cpu_usr,cpu_sys,cpu_total
test_nbcpu-bw=17_read.json,nbcpu-bw,read,64k,17,128.64,0.0,8040.2,0.0,7833.72,9764.86,0.0,0.0,2.41,37.41,39.82
test_nbcpu-bw=17_write.json,nbcpu-bw,write,64k,17,0.0,110.72,0.0,6920.2,0.0,0.0,9100.71,11730.94,5.19,34.6,39.79
test_nbcpu-bw=18_read.json,nbcpu-bw,read,64k,18,127.47,0.0,7966.87,0.0,8398.9,10551.3,0.0,0.0,2.25,35.87,38.12
test_nbcpu-bw=18_write.json,nbcpu-bw,write,64k,18,0.0,112.85,0.0,7053.35,0.0,0.0,9487.17,12124.16,5.01,33.82,38.83
test_nbcpu-bw=19_read.json,nbcpu-bw,read,64k,19,127.03,0.0,7939.47,0.0,8923.8,11206.66,0.0,0.0,2.13,34.63,36.76
test_nbcpu-bw=19_write.json,nbcpu-bw,write,64k,19,0.0,113.39,0.0,7087.07,0.0,0.0,9995.89,13041.66,4.73,33.0,37.72
test_nbcpu-bw=20_read.json,nbcpu-bw,read,64k,20,116.33,0.0,7270.68,0.0,10286.0,13172.74,0.0,0.0,1.91,31.61,33.52
test_nbcpu-bw=20_write.json,nbcpu-bw,write,64k,20,0.0,109.42,0.0,6839.01,0.0,0.0,10934.35,14090.24,4.37,30.71,35.09
test_nbcpu-bw=21_read.json,nbcpu-bw,read,64k,21,177.2,0.0,11075.05,0.0,7107.78,10813.44,0.0,0.0,2.03,32.25,34.28
test_nbcpu-bw=21_write.json,nbcpu-bw,write,64k,21,0.0,149.54,0.0,9346.02,0.0,0.0,8421.98,12648.45,4.44,28.21,32.65
test_nbcpu-bw=22_read.json,nbcpu-bw,read,64k,22,167.97,0.0,10498.12,0.0,7873.29,12124.16,0.0,0.0,2.27,36.36,38.64
